SHA256,Name,Machine,NumberOfSections,TimeDateStamp,PointerToSymbolTable,SizeOfOptionalHeader,Characteristics,Magic,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,ImageBase,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfImage,CheckSum,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfHeapReserve,ExportTableRVA,ExportTableSize,ImportTableRVA,ImportTableSize,ResourceTableRVA,ResourceTableSize,ExceptionTableRVA,ExceptionTableSize,CertificateTableRVA,CertificateTableSize,BaseRelocationTableRVA,BaseRelocationTableSize,DebugRVA,DebugSize,ArchitectureRVA,ArchitectureSize,GlobalPtrRVA,GlobalPtrSize,TLSTableRVA,TLSTableSize,LoadConfigTableRVA,LoadConfigTableSize,BoundImportRVA,BoundImportSize,IATRVA,IATSize,DelayImportDescriptorRVA,DelayImportDescriptorSize,CLRHeaderRVA,CLRHeaderSize,ReservedRVA,ReservedSize,.text_Misc_VirtualSize,.text_SizeOfRawData,.rdata_Misc_VirtualSize,.rdata_SizeOfRawData,.data_Misc_VirtualSize,.data_SizeOfRawData,.rsrc_Misc_VirtualSize,.rsrc_SizeOfRawData,.reloc_Misc_VirtualSize,.reloc_SizeOfRawData,.rdata_Misc_VirtualSize.1,.rdata_SizeOfRawData.1
2daf941829da31dd7adbc60b334e47c55fedb3e976711b47227a71228a7f5ff5,obs-ffmpeg-mux.exe,34404,6,1632849421,0,240,34,523,14,28,10752,11776,0,11796,4096,5368709120,6,0,0,0,6,0,40960,72230,3,33120,1048576,1048576,0,20548,32768,28672,22016,36864,18448,0,0,0,18544,0,16384,0,0,0,0,280,480,732,7552,56,84,0,0,0,312,0,808,0,0,0,10348.0,10752.0,7372.0,7680.0,1624.0,512.0,480.0,512.0,56.0,512.0,,
2e97c7da3a913fc79fe3205df6258d9e6d50161b37ed7c7e72c1518179258115,obs64.exe,34404,6,1633377964,0,240,34,523,14,28,2009600,1147392,0,1891588,4096,5368709120,6,0,0,0,6,0,3170304,3205427,2,33120,1048576,1048576,2778304,2778432,3051520,2981888,3151360,3149824,2537544,0,0,2537984,2537632,0,2015232,0,0,0,128,640,95944,66900,7552,19888,84,0,0,40,312,0,24432,0,0,0,2009307.0,2009600.0,916676.0,916992.0,47024.0,40448.0,95944.0,96256.0,19888.0,19968.0,,
032c589ce8b679850d4460b193c23e5cc3a99414d17c0318d893d3722aa34acc,animationpaper.exe,34404,6,1625490342,0,240,34,523,14,29,961024,10862080,0,903032,4096,5368709120,5,2,0,0,5,2,11841536,11563855,2,33120,1048576,1048576,0,10116556,10661888,10620928,11494400,11829248,9983648,0,0,9984000,9983680,0,966656,0,0,0,0,520,1163552,39876,16144,10052,28,0,0,40,312,0,18712,0,0,0,961022.0,961024.0,9274870.0,9274880.0,373240.0,43520.0,1163552.0,1163776.0,10052.0,10240.0,,
41452fdb51473c7f4a8c0dd5ea54e90f8e648f54ee7d0223d29020625dec7eda,Asana.exe,34404,15,1704302059,0,240,34,523,14,0,145019392,31699968,0,76092288,4096,5368709120,5,2,0,0,5,2,180654080,176753868,2,49504,8388608,1048576,169957237,170176513,179589120,174936064,176730624,179695616,169275112,0,0,169273800,145034640,0,170182072,169938928,0,0,219276,340,105680,4589088,5488,956332,28,0,0,40,320,0,5216,1152,0,0,145019012.0,145019392.0,25424560.0,25424896.0,4479912.0,602624.0,105680.0,105984.0,956332.0,956416.0,,
05bd1e613b877311377d0c3ab52d66ff4cb798ee9a90ece195c3d719d64c3ea1,squirrel.exe,332,3,1601236533,0,224,258,267,8,0,1895936,11776,0,1903678,8192,4194304,4,0,0,0,4,0,1933312,1925359,2,34112,1048576,1048576,0,1903588,1908736,0,1908224,1925120,0,0,0,0,0,0,8192,0,8200,0,0,87,10852,0,5488,12,0,0,0,0,0,0,8,0,72,0,1895492.0,1895936.0,,,,,10852.0,11264.0,12.0,512.0,,
7e40d9adc86deb5db9d3b38308268d7c28e50efb73dc14672abae6319d0f63bb,brave.exe,34404,12,1710300712,0,240,34,523,14,0,2011648,814080,0,1341808,4096,5368709120,5,2,0,0,5,2,2904064,2870976,2,49504,8388608,1048576,2235656,2235791,2482176,2392064,2828800,2891776,2225196,0,0,2224896,2023984,0,2237808,2231816,0,0,135,100,407968,54960,10264,8812,56,0,0,40,320,0,1912,384,0,0,2011275.0,2011648.0,265500.0,265728.0,102864.0,61440.0,407968.0,408064.0,8812.0,9216.0,,
263cb23904244e11b84c19248087a4f0de79e8bd5ac254212d9f45bf157ec332,chrome.exe,34404,12,1710782737,0,240,34,523,14,0,2013696,745984,0,1379712,4096,5368709120,10,0,0,0,10,0,2842624,2827766,2,49504,8388608,1048576,2232996,2233132,2482176,2392064,2762752,2830336,2222636,0,0,2222336,2023984,0,2235144,2229184,0,0,135,100,344960,53604,10528,8704,56,0,0,40,320,0,1912,384,0,0,2013471.0,2013696.0,262812.0,263168.0,102576.0,60928.0,344960.0,345088.0,8704.0,8704.0,,
e44574bdae55b258284d23477ca185b159077c14332cf5b8a0d30bf786601443,chrome_proxy.exe,34404,10,1710300712,0,240,34,523,14,0,798208,277504,0,427568,4096,5368709120,5,2,0,0,5,2,1142784,1094148,2,49504,1048576,1048576,928864,928949,1130496,1073152,1077248,1134592,925836,0,0,925552,807504,0,930408,0,0,0,85,160,2408,29640,10264,5056,28,0,0,40,320,0,1296,0,0,0,798038.0,798208.0,169436.0,169472.0,96252.0,59392.0,2408.0,2560.0,5056.0,5120.0,,
431c7c80c02e8e328d3056ddd6a7c59a254b8cc084d35380342a5df33a4f2f9a,msedge.exe,34404,13,1710362166,0,240,34,523,14,0,2806784,1236992,0,1531760,4096,5368709120,5,2,0,0,5,2,4141056,4077730,2,49504,8388608,1048576,3211441,3212482,3534848,3395584,4050432,4124672,3195224,0,0,3194512,2818608,0,3214640,3205840,0,0,1041,80,586376,91452,10280,12596,84,0,0,40,320,0,2072,544,0,0,2806637.0,2806784.0,459772.0,459776.0,115560.0,71168.0,586376.0,586752.0,12596.0,12800.0,,
2ea4aa11c247a03191b88d7bd867326482162f0c557c6abf769d2306b3577a31,msedge_proxy.exe,34404,10,1710362166,0,240,34,523,14,0,905728,306688,0,445456,4096,5368709120,5,2,0,0,5,2,1282048,1251523,2,49504,1048576,1048576,1053010,1054001,1269760,1208320,1213952,1273856,1047436,0,0,1047136,918144,0,1055496,1051976,0,0,991,120,2616,35724,10280,6056,56,0,0,40,320,0,1368,224,0,0,905348.0,905728.0,185108.0,185344.0,103072.0,64512.0,2616.0,3072.0,6056.0,6144.0,,
