RtlImageDirectoryEntryToData,WideCharToMultiByte,GetStartupInfoW,RtlCreateActivationContext,LdrGetDllHandle,SystemParametersInfoW,GetCommandLineW,EnterCriticalSection,SetUnhandledExceptionFilter,LdrFindEntryForAddress,wcschr,LdrLoadDll,RtlTryEnterCriticalSection,IsThreadDesktopComposited,GetLastError,SetLastError,RtlRunOnceComplete,InitializeSListHead,wcspbrk,GetModuleFileNameW,GetCPInfo,GetThreadDesktop,GetAncestor,SetWindowPos,GetProcAddress,RtlCaptureStackBackTrace,GetCurrentThreadId,GetFileType,RtlReAllocateHeap,RtlEnterCriticalSection,RtlUnlockHeap,RegisterClassW,FlsGetValue,RtlRunOnceExecuteOnce,RtlInitString,GetModuleHandleW,BCryptCreateHash,RegCloseKey,InitializeCriticalSectionEx,RpcBindingSetAuthInfoExW,AcquireSRWLockExclusive,RtlAppendUnicodeStringToString,GetUserObjectInformationW,NtDeviceIoControlFile,ReleaseDC,LeaveCriticalSection,GetDIBColorTable,WriteFile,BCryptImportKeyPair,RegQueryValueExA,LoadLibraryW,NtDelayExecution,ReleaseSRWLockExclusive,GetStringTypeW,RtlLeaveCriticalSection,BCryptHashData,RtlReleaseSRWLockExclusive,memset,WakeAllConditionVariable,LoadLibraryExW,RtlSetLastWin32Error,RtlGetLengthWithoutLastFullDosOrNtPathElement,DeleteDC,IsValidCodePage,NtAccessCheck,RegOpenKeyExW,RtlAcquireSRWLockShared,RegOpenKeyExA,RtlDecodePointer,_wcsnicmp,CreateDirectoryW,RtlAcquirePebLock,DefWindowProcW,SelectObject,SetRect,NtQueryValueKey,MultiByteToWideChar,HeapAlloc,RtlAllocateHeap,RtlGetCurrentTransaction,MapWindowPoints,RtlLockHeap,GetACP,RtlImageNtHeader,GetLocaleInfoW,RtlMultiAppendUnicodeStringBuffer,NtOpenKey,FlsAlloc,BCryptDestroyKey,RtlReleaseSRWLockShared,NtLockFile,EqualRect,RtlIsThreadWithinLoaderCallout,wcsncpy_s,TlsGetValue,RtlQueryElevationFlags,exit,NtUnlockFile,RtlGetIntegerAtom,FreeEnvironmentStringsW,LdrResFindResourceDirectory,GetWindowRgnBox,GetWindowRect,RtlWakeAllConditionVariable,RtlFreeHeap,NtDuplicateToken,GetFileVersionInfoW,NtOpenMutant,GetCommandLineA,RtlAppendUnicodeToString,NtQueryInformationToken,GetDeviceCaps,StretchDIBits,IsWindow,RtlInitializeCriticalSectionAndSpinCount,wcscat_s,SetPropW,RtlAcquireSRWLockExclusive,LdrDisableThreadCalloutsForDll,OpenThreadToken,strcmp,RtlInitUnicodeStringEx,RpcBindingFromStringBindingW,GetParent,memmove,NtProtectVirtualMemory,GetEnvironmentStringsW,NtOpenKeyEx,ExitProcess,RtlDestroyEnvironment,EncodePointer,RtlFormatCurrentUserKeyPath,RegGetValueW,RtlLookupAtomInAtomTable,StrChrW,SetDIBits,SetScrollInfo,RtlIsDosDeviceName_U,InitializeCriticalSectionAndSpinCount,GetUserDefaultUILanguage,RtlInitUnicodeString,BCryptFinishHash,IsZoomed,RpcBindingInqAuthInfoExW,PathFindExtensionW,ChangeWindowMessageFilter,BCryptOpenAlgorithmProvider,RtlOpenCurrentUser,LdrUnloadDll,NtEnumerateValueKey,NtQueryVirtualMemory,RtlGetFullPathName_UEx,_wsplitpath_s,operator delete[],RtlAddAccessAllowedAce,UrlIsW,WSAStartup,free,NtWaitForSingleObject,CommandLineToArgvW,RtlSetLastWin32ErrorAndNtStatusFromNtStatus,RtlSetOwnerSecurityDescriptor,CreateCompatibleDC,CreateDIBitmap,RtlReleaseRelativeName,__set_app_type,_vsnprintf,GetModuleHandleA,CryptImportKey,QueryActCtxW,_lock,RegCreateKeyA,LCMapStringW,NtOpenThread,LdrFindResource_U,GetObjectW,ImmGetContext,RtlSplay,RpcStringFreeW,RtlValidSid,EnumProcesses,NtCreateKey,BCryptDestroyHash,memcmp,_wtol,GdipGetLogFontW,IsServerSideWindow,RegCreateKeyW,RpcStringBindingComposeW,RtlDosApplyFileIsolationRedirection_Ustr,TlsSetValue,BitBlt,memchr,NtQueryKey,RtlDestroyProcessParameters,RpcBindingFree,RtlEqualUnicodeString,GetStdHandle,RtlUnicodeToUTF8N,StrCmpW,HeapSize,swprintf_s,RpcStringBindingParseW,RpcBindingSetOption,CreateWindowExW,LdrAccessResource,RtlSetDaclSecurityDescriptor,VerifyVersionInfoW,NtSetInformationProcess,InitializeCriticalSection,wcsncmp,RtlDeleteNoSplay,DeleteCriticalSection,realloc,RtlGetActiveActivationContext,GetFileVersionInfoSizeW,FindClose,BCryptGetProperty,strcat_s,strlen,NtSetInformationObject,SetRectEmpty,GetNativeSystemInfo,RtlDosPathNameToRelativeNtPathName_U_WithStatus,NtSetEvent,CryptDestroyKey,GetFileSize,WerRegisterRuntimeExceptionModule,VirtualQuery,GetTraceLoggerHandle,UrlGetPartW,RtlFindClearBitsAndSet,NtQueryTimerResolution,GetUserPreferredUILanguages,HeapReAlloc,SetErrorMode,RtlGetControlSecurityDescriptor,IPSFactoryBuffer::AddRef,ReleaseSemaphore,I_RpcSend,ExcludeClipRect,NtCreateThreadEx,SetVolumeMountPointW,_snwprintf_s,GetSystemMetrics,RtlExpandEnvironmentStrings,FindNextVolumeW,operator delete,Label
15,10,2,0,584,0,3,112,1,1402,985,78,52,0,4876,379,10,6,0,13,6,0,0,0,223,497,11,12,0,8005,0,0,73,233,512,37,3193,27,164,0,54,524,2,48,0,7009,0,2,0,0,0,1,54,2,8057,6386,1108,12748,0,42,1407,0,0,2,1,54,1874,0,1,2984,2,42,0,0,0,1126,93,13248,7547,484,0,0,4,21,0,0,35,6,0,1874,0,0,0,1,46,2,0,0,1,3,51,0,0,0,7950,1,3,0,2,206,135,0,0,6,105,1,0,1108,30,4,0,2600,4,0,565,89,3,1149,0,1,0,203,0,0,272,0,0,214,3,0,445,3192,0,0,9,0,1,18,8,3,22,48,1,0,25,16,0,14,27,0,9,1,0,0,308,0,0,1,0,4,126,0,0,0,0,0,0,0,4,6,0,6,3192,423,1,0,0,0,4,11,18,0,0,533,1,6,321,6,36,361,0,0,0,0,0,1,12,19,85,353,234,0,134,0,10,3,188,3193,5,0,0,0,6,97,9,0,5,1,5,0,5,36,0,2,306,44,9,22,0,0,0,4,0,1,0,71,0,0,1
0,0,0,0,4,0,0,0,0,0,3789,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,56,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,58,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,1,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,8,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,1,0,0,3,13,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,35,0,4,27,0,0,11,0,0,0,0,0,1,0,0,0,0,7,0,0,0,17,0,0,43,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,52,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,35,0,0,8,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,23,0,0,0,15,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,111,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,2,32,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,11,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,2,0,0,6,0,1,53,0,0,8,0,1,0,0,0,14,0,0,0,0,0,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
17,0,0,0,155,0,1,0,0,1494,878,51,49,0,0,3,10,0,0,1,0,0,0,0,70,292,0,0,0,25427,0,0,0,234,291,0,0,0,0,41,0,595,1,145,0,0,0,54,0,0,3,1,0,0,25476,0,1012,23815,0,13,10114,0,0,0,1,3,1867,0,0,546,0,39,0,0,0,1218,0,0,874,433,0,0,0,19,0,0,36,0,0,1867,0,0,0,3,0,2,0,0,1,1,47,0,0,2,1007,1,0,0,0,239,103,0,0,16,361,1,0,1012,32,0,0,2499,47,0,668,34,1,1134,0,1,0,231,0,0,41,0,0,6,0,0,257,0,0,0,0,0,0,17,15,0,55,5,1,0,15,0,0,23,10098,0,45,1,0,0,59,0,0,0,0,0,128,0,0,0,0,0,0,8,45,51,0,4,0,819,1,0,2,0,44,11,0,0,0,1470,1,53,359,3,36,0,0,0,1,7,0,0,8,0,28,0,228,12,0,0,10,0,0,0,0,0,5,0,1,51,3310,0,0,0,41,0,0,35,1,0,0,2,9,32,0,0,0,42,0,1,0,65,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41,54,0,0,85,0,0,0,0,0,0,0,0,1,13,20,0,0,0,0,0,0,11,0,0,41,0,2,82,0,0,34,0,8,0,0,0,130,0,0,0,0,0,50,32,21,1,0,0,10,1,0,54,0,0,0,0,0,0,0,130,0,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,8,0,146,0,0,0,2,0,0,0,2,0,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,29,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,51,1
18,6,1,0,135,0,2,52,0,1624,910,67,55,0,35,35,11,1,0,2,2,0,0,0,86,344,0,25,0,20501,0,0,36,246,348,4,0,0,82,502,0,596,1,575,0,52,0,0,0,0,4,1,0,1,20556,0,1162,6350,0,17,7455,0,0,1,1,0,1927,0,0,608,0,43,0,0,0,1395,6,93,1264,456,0,0,1,22,0,0,55,2,0,1927,0,0,0,4,0,2,0,0,2,2,54,0,0,3,1403,1,0,0,1,240,200,0,0,32,2544,5,0,1162,34,0,0,2878,590,0,767,36,2,1324,0,2,8,231,0,0,41,0,0,6,9,0,758,0,0,9,0,0,0,17,11,46,34,5,1,1,15,0,0,22,6403,0,24,1,0,0,60,0,0,0,0,0,171,0,0,0,0,0,0,16,587,496,0,6,0,2184,1,0,4,0,585,11,0,0,0,1680,1,600,359,6,36,0,0,0,2,16,0,0,8,0,32,4,228,24,4,0,10,0,0,0,0,0,8,0,1,52,2364,0,0,0,20,1,0,36,1,0,0,2,15,74,0,21,0,21,0,2,0,108,0,1,1
6,12,2,0,50,0,2,6131,1,488,77,32,23,0,4814,2794,1,3,0,9,4,0,0,0,62,163,1554,121,0,2739,0,0,835,28,167,10,0,88,182,27,20,1,1,11,0,6131,0,978,1,0,0,1,20,2,2762,0,378,1108,3,20,5372,0,0,2,0,75,467,0,1,3143,0,8,0,0,0,376,1954,10504,1066,146,0,0,2,7,0,0,25,5,0,467,0,0,1,9,21743,0,0,0,0,2,22,0,0,2,2774,0,0,0,2,1,104,0,0,0,190,22,0,378,15,0,0,1007,35,0,366,14,2,275,0,1,33,0,0,0,0,0,0,116,49,0,217,0,0,1,0,0,1,2,9,65,4,0,1,1,3,0,1,6,20,0,8,0,0,0,633,0,6,0,0,0,66,0,0,0,52,0,0,0,18,1,0,21,0,129,0,0,0,0,17,4,3,0,0,337,0,40,0,6,0,0,1,0,1,31,0,104,2,0,8,6,5,0,50,0,4,0,109,0,1,0,2,0,0,518,314,0,0,0,1,2,0,5,0,0,1,0,8,23,0,0,0,4,0,9,1,84,0,3,1
6,12,2,0,50,0,2,8867,1,488,77,32,23,0,5268,2897,1,3,0,9,4,0,0,0,63,164,1868,123,0,2813,0,0,924,28,168,10,0,88,183,27,20,1,1,17,0,8866,0,1149,1,0,0,1,20,2,2836,0,378,1105,3,20,5849,0,0,2,0,75,467,0,1,3431,0,8,0,0,0,376,2120,11527,1091,146,0,0,2,7,0,0,25,5,0,467,0,0,1,9,25602,0,0,0,0,2,22,0,0,2,2942,0,0,0,2,1,100,0,0,0,190,22,0,378,15,0,0,1040,35,0,366,14,2,275,0,1,33,0,0,0,0,0,0,122,49,0,223,0,0,1,0,0,1,2,9,65,4,0,1,1,3,0,1,6,26,0,14,0,0,0,689,0,6,0,0,0,66,0,0,0,52,0,0,0,18,1,0,21,0,130,0,0,0,0,17,4,9,0,0,337,0,40,0,6,0,0,1,0,1,31,0,104,2,0,8,6,5,0,50,0,4,0,115,0,1,0,2,0,0,568,2310,0,0,0,1,2,0,5,0,0,1,0,8,23,0,0,0,10,0,9,1,84,0,3,1
